OID,barcode,description,finalPrice,itemPrice,needsFetchReview,partnerItemId,preventTargetGapPoints,quantityPurchased,userFlaggedBarcode,userFlaggedNewItem,userFlaggedPrice,userFlaggedQuantity,needsFetchReviewReason,pointsNotAwardedReason,pointsPayerId,rewardsGroup,rewardsProductPartnerId,userFlaggedDescription,originalMetaBriteBarcode,originalMetaBriteDescription,brandCode,competitorRewardsGroup,discountedItemPrice,originalReceiptItemText,itemNumber,originalMetaBriteQuantityPurchased,pointsEarned,targetPrice,competitiveProduct,originalFinalPrice,originalMetaBriteItemPrice,deleted,priceAfterCoupon,metabriteCampaignId
5ff1e1eb0a720f0523000575,4011,ITEM NOT FOUND,26,26,FALSE,1,TRUE,5,4011,TRUE,26,5,,,,,,,,,,,,,,,,,,,,,,
5ff1e1bb0a720f052300056b,4011,ITEM NOT FOUND,1,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
5ff1e1bb0a720f052300056b,28400642255,DORITOS TORTILLA CHIP SPICY SWEET CHILI REDUCED FAT BAG 1 OZ,10,10,TRUE,2,TRUE,1,28400642255,TRUE,10,1,USER_FLAGGED,Action not allowed for user and CPG,5332f5fbe4b03c9a25efd0ba,DORITOS SPICY SWEET CHILI SINGLE SERVE,5332f5fbe4b03c9a25efd0ba,DORITOS TORTILLA CHIP SPICY SWEET CHILI REDUCED FAT BAG 1 OZ,,,,,,,,,,,,,,,,
5ff1e1f10a720f052300057a,,,,,FALSE,1,TRUE,,4011,TRUE,26,3,,,,,,,,,,,,,,,,,,,,,,
5ff1e1ee0a7214ada100056f,4011,ITEM NOT FOUND,28,28,FALSE,1,TRUE,4,4011,TRUE,28,4,,,,,,,,,,,,,,,,,,,,,,
5ff1e1d20a7214ada1000561,4011,ITEM NOT FOUND,1,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
5ff1e1d20a7214ada1000561,1234,,2.56,2.56,TRUE,2,TRUE,3,1234,TRUE,2.56,3,USER_FLAGGED,,,,,,,,,,,,,,,,,,,,,
5ff1e1e40a7214ada1000566,4011,ITEM NOT FOUND,3.25,3.25,FALSE,1,TRUE,1,4011,,,,,Action not allowed for user and CPG,5332f5fbe4b03c9a25efd0ba,DORITOS SPICY SWEET CHILI SINGLE SERVE,5332f5fbe4b03c9a25efd0ba,,28400642255,DORITOS TORTILLA CHIP SPICY SWEET CHILI REDUCED FAT BAG 1 OZ,,,,,,,,,,,,,,
5ff1e1cd0a720f052300056f,,MSSN TORTLLA,2.23,2.23,,1009,,1,,,,,,,,,,,,,MISSION,TACO BELL TACO SHELLS,2.23,MSSN TORTLLA,,,,,,,,,,
5ff1e1a40a720f0523000569,46000832517,"Old El Paso Mild Chopped Green Chiles, 4.5 Oz",10,10,,0,,1,,,,,,Action not allowed for user and CPG,5332f5f3e4b03c9a25efd0ae,OLD EL PASO BEANS & PEPPERS,5332f5f3e4b03c9a25efd0ae,,,,BRAND,,,,,,,,,,,,,
