OID,bonusPointsEarned,bonusPointsEarnedReason,CREATEDATE,DATESCANNED,FINISHEDDATE,MODIFYDATE,AWARDDATE,pointsEarned,PURCHASEDATE,purchasedItemCount,rewardsReceiptStatus,totalSpent,userId
5ff1e1eb0a720f0523000575,500,"Receipt number 2 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03 10:25:31,2021-01-03 10:25:31,2021-01-03 10:25:31,2021-01-03 10:25:36,2021-01-03 10:25:31,500,2021-01-02 19:00:00,5,FINISHED,26,5ff1e1eacfcf6c399c274ae6
5ff1e1bb0a720f052300056b,150,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03 10:24:43,2021-01-03 10:24:43,2021-01-03 10:24:43,2021-01-03 10:24:48,2021-01-03 10:24:43,150,2021-01-02 10:24:43,2,FINISHED,11,5ff1e194b6a9d73a3a9f1052
5ff1e1f10a720f052300057a,5,All-receipts receipt bonus,2021-01-03 10:25:37,2021-01-03 10:25:37,,2021-01-03 10:25:42,,5,2021-01-02 19:00:00,1,REJECTED,10,5ff1e1f1cfcf6c399c274b0b
5ff1e1ee0a7214ada100056f,5,All-receipts receipt bonus,2021-01-03 10:25:34,2021-01-03 10:25:34,2021-01-03 10:25:34,2021-01-03 10:25:39,2021-01-03 10:25:34,5,2021-01-02 19:00:00,4,FINISHED,28,5ff1e1eacfcf6c399c274ae6
5ff1e1d20a7214ada1000561,5,All-receipts receipt bonus,2021-01-03 10:25:06,2021-01-03 10:25:06,2021-01-03 10:25:11,2021-01-03 10:25:11,2021-01-03 10:25:06,5,2021-01-02 10:25:06,2,FINISHED,1,5ff1e194b6a9d73a3a9f1052
5ff1e1e40a7214ada1000566,750,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03 10:25:24,2021-01-03 10:25:24,2021-01-03 10:25:25,2021-01-03 10:25:30,2021-01-03 10:25:25,750,2021-01-02 10:25:24,1,FINISHED,3.25,5ff1e1e4cfcf6c399c274ac3
5ff1e1cd0a720f052300056f,5,All-receipts receipt bonus,2021-01-03 10:25:01,2021-01-03 10:25:01,2021-01-03 10:25:02,2021-01-03 10:25:02,2021-01-03 10:25:02,5,2021-01-03 10:25:01,1,FINISHED,2.23,5ff1e194b6a9d73a3a9f1052
5ff1e1a40a720f0523000569,500,"Receipt number 2 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03 10:24:20,2021-01-03 10:24:20,2021-01-03 10:24:21,2021-01-03 10:24:21,2021-01-03 10:24:21,500,2020-12-26 19:00:00,1,FINISHED,10,5ff1e194b6a9d73a3a9f1052
5ff1e1ed0a7214ada100056e,5,All-receipts receipt bonus,2021-01-03 10:25:33,2021-01-03 10:25:33,2021-01-03 10:25:34,2021-01-03 10:25:38,2021-01-03 10:25:34,5,2021-01-02 19:00:00,5,FINISHED,20,5ff1e1eacfcf6c399c274ae6
5ff1e1eb0a7214ada100056b,250,"Receipt number 3 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03 10:25:31,2021-01-03 10:25:31,2021-01-03 10:25:31,2021-01-03 10:25:36,2021-01-03 10:25:31,250,2021-01-02 19:00:00,3,FINISHED,20,5ff1e1eacfcf6c399c274ae6
5ff1e1c50a720f052300056c,100,"Receipt number 6 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03 10:24:53,2021-01-03 10:24:53,2021-01-03 10:24:53,2021-01-03 10:24:53,2021-01-03 10:24:53,100,2021-01-02 10:24:53,1,FINISHED,1,5ff1e194b6a9d73a3a9f1052
